Date,Adj Close
2021-11-01,2564.0
2021-11-02,2457.0
2021-11-03,2424.0
2021-11-04,2440.0
2021-11-05,2397.0
2021-11-08,2433.0
2021-11-09,2433.0
2021-11-10,2473.0
2021-11-11,2485.0
2021-11-12,2470.0
2021-11-15,2458.0
2021-11-16,2505.0
2021-11-17,2514.0
2021-11-18,2552.0
2021-11-19,2493.0
2021-11-22,2498.0
2021-11-23,2478.0
2021-11-24,2456.0
2021-11-25,2456.0
2021-11-26,2340.0
2021-11-29,2322.0
2021-11-30,2314.0
2021-12-01,2320.0
2021-12-02,2421.0
2021-12-03,2435.0
2021-12-06,2428.0
2021-12-07,2453.0
2021-12-08,2466.0
2021-12-09,2447.0
2021-12-10,2462.0
2021-12-13,2528.0
2021-12-14,2584.0
2021-12-15,2627.0
2021-12-16,2547.0
2021-12-17,2497.0
2021-12-20,2423.0
2021-12-21,2460.0
2021-12-22,2466.0
2021-12-23,2473.0
2021-12-27,2461.0
2021-12-28,2485.0
2021-12-29,2515.0
2021-12-30,2559.0
2021-12-31,2520.0
2022-01-03,2499.0
2022-01-04,2462.0
2022-01-05,2457.0
2022-01-06,2423.0
2022-01-07,2521.0
2022-01-10,2521.0
2022-01-11,2588.0
2022-01-12,2559.0
2022-01-13,2609.0
2022-01-14,2659.0
2022-01-18,2631.0
2022-01-19,2657.0
2022-01-20,2660.0
2022-01-21,2576.0
2022-01-24,2493.0
2022-01-25,2503.0
