Date,Adj Close
2021-10-29,1019.5999755859376
2021-11-01,1066.300048828125
2021-11-02,1038.199951171875
2021-11-03,1021.2999877929688
2021-11-04,1028.199951171875
2021-11-05,1034.699951171875
2021-11-08,1058.9000244140625
2021-11-09,1060.199951171875
2021-11-10,1075.800048828125
2021-11-11,1093.300048828125
2021-11-12,1088.0999755859375
2021-11-15,1095.800048828125
2021-11-16,1073.0
2021-11-17,1067.699951171875
2021-11-18,1055.0
2021-11-19,1034.5999755859375
2021-11-22,1014.0
2021-11-23,963.0999755859376
2021-11-24,974.2999877929688
2021-11-26,953.4000244140624
2021-11-29,963.5999755859376
2021-11-30,926.5999755859376
2021-12-01,934.5
2021-12-02,932.4000244140624
2021-12-03,925.5
2021-12-06,935.9000244140624
2021-12-07,949.2999877929688
2021-12-08,955.2000122070312
2021-12-09,937.2999877929688
2021-12-10,933.7999877929688
2021-12-13,924.0999755859376
2021-12-14,910.2999877929688
2021-12-15,893.5999755859375
2021-12-16,928.2999877929688
2021-12-17,933.9000244140624
2021-12-20,926.2000122070312
2021-12-21,927.5
2021-12-22,968.0999755859376
2021-12-23,974.5999755859376
2021-12-27,968.9000244140624
2021-12-28,979.0999755859376
2021-12-29,968.2000122070312
2021-12-30,963.5999755859376
2021-12-31,964.4000244140624
2022-01-03,953.7000122070312
2022-01-04,970.4000244140624
2022-01-05,1001.9000244140624
2022-01-06,960.5999755859376
2022-01-07,957.0
2022-01-10,934.4000244140624
2022-01-11,973.7999877929688
2022-01-12,979.9000244140624
2022-01-13,971.9000244140624
2022-01-14,964.4000244140624
2022-01-18,979.2999877929688
2022-01-19,1028.199951171875
2022-01-20,1050.5999755859375
2022-01-21,1034.699951171875
2022-01-24,1019.9000244140624
2022-01-25,1023.7999877929688
